,Postcode,OA_Code,Total,Percentage
L7  0JQ: E00033898,L7  0JQ,E00033898,61,94
L7  0JQ: E00033942,L7  0JQ,E00033942,4,6
L7  0LB: E00033935,L7  0LB,E00033935,7,35
L7  0LB: E00034282,L7  0LB,E00034282,1,5
L7  0LB: E00176602,L7  0LB,E00176602,9,45
L7  0LB: E00176731,L7  0LB,E00176731,3,15
L7  0LR: E00033901,L7  0LR,E00033901,14,13
L7  0LR: E00033908,L7  0LR,E00033908,97,87
L7  0LW: E00033901,L7  0LW,E00033901,137,98
L7  0LW: E00033908,L7  0LW,E00033908,3,2
L7  0LY: E00033908,L7  0LY,E00033908,27,79
L7  0LY: E00033935,L7  0LY,E00033935,7,21
L7  0LY: E00033945,L7  0LY,E00033945,0,0
L7  2PN: E00033899,L7  2PN,E00033899,3,6
L7  2PN: E00033903,L7  2PN,E00033903,51,94
L7  2PR: E00033903,L7  2PR,E00033903,44,98
L7  2PR: E00033914,L7  2PR,E00033914,1,2
L7  2QS: E00033902,L7  2QS,E00033902,8,28
L7  2QS: E00033946,L7  2QS,E00033946,21,72
L7  2QZ: E00033902,L7  2QZ,E00033902,32,70
L7  2QZ: E00033946,L7  2QZ,E00033946,14,30
L7  3EG: E00034200,L7  3EG,E00034200,37,53
L7  3EG: E00034215,L7  3EG,E00034215,7,10
L7  3EG: E00176661,L7  3EG,E00176661,26,37
L7  3EN: E00176661,L7  3EN,E00176661,35,65
L7  3EN: E00176744,L7  3EN,E00176744,19,35
L7  3ET: E00176661,L7  3ET,E00176661,22,17
L7  3ET: E00176744,L7  3ET,E00176744,104,83
L7  3QX: E00034199,L7  3QX,E00034199,3,9
L7  3QX: E00034213,L7  3QX,E00034213,31,91
L7  4JG: E00033207,L7  4JG,E00033207,7,26
L7  4JG: E00033209,L7  4JG,E00033209,20,74
L7  4JQ: E00033207,L7  4JQ,E00033207,18,53
L7  4JQ: E00033208,L7  4JQ,E00033208,13,38
L7  4JQ: E00033210,L7  4JQ,E00033210,3,9
L7  5DB: E00034208,L7  5DB,E00034208,17,34
L7  5DB: E00176710,L7  5DB,E00176710,33,66
L7  6AU: E00176663,L7  6AU,E00176663,16,40
L7  6AU: E00176727,L7  6AU,E00176727,24,60
L7  6HB: E00176663,L7  6HB,E00176663,54,78
L7  6HB: E00176727,L7  6HB,E00176727,15,22
L7  6HE: E00034070,L7  6HE,E00034070,17,89
L7  6HE: E00034084,L7  6HE,E00034084,2,11
L7  6HY: E00176663,L7  6HY,E00176663,53,71
L7  6HY: E00176727,L7  6HY,E00176727,22,29
L7  6NR: E00034201,L7  6NR,E00034201,11,58
L7  6NR: E00034219,L7  6NR,E00034219,8,42
L7  7DP: E00033019,L7  7DP,E00033019,1,5
L7  7DP: E00176634,L7  7DP,E00176634,20,95
L7  7EZ: E00176689,L7  7EZ,E00176689,291,90
L7  7EZ: E00176690,L7  7EZ,E00176690,34,10
L7  8SJ: E00033902,L7  8SJ,E00033902,55,98
L7  8SJ: E00176726,L7  8SJ,E00176726,1,2
L7  8UE: E00176639,L7  8UE,E00176639,5,19
L7  8UE: E00176698,L7  8UE,E00176698,21,81
L7  8UX: E00034222,L7  8UX,E00034222,2,5
L7  8UX: E00034223,L7  8UX,E00034223,39,95
L7  8UY: E00034223,L7  8UY,E00034223,4,44
L7  8UY: E00034224,L7  8UY,E00034224,5,56
L7  9LF: E00033911,L7  9LF,E00033911,36,97
L7  9LF: E00033913,L7  9LF,E00033913,1,3
L7  9LY: E00033898,L7  9LY,E00033898,65,63
L7  9LY: E00033913,L7  9LY,E00033913,39,38
L8  0QN: E00033810,L8  0QN,E00033810,12,80
L8  0QN: E00033820,L8  0QN,E00033820,3,20
L8  0SG: E00033189,L8  0SG,E00033189,49,77
L8  0SG: E00033214,L8  0SG,E00033214,15,23
L8  0SQ: E00033189,L8  0SQ,E00033189,26,17
L8  0SQ: E00033214,L8  0SQ,E00033214,123,83
L8  0SY: E00033813,L8  0SY,E00033813,108,96
L8  0SY: E00033827,L8  0SY,E00033827,4,4
L8  0UE: E00033810,L8  0UE,E00033810,7,6
L8  0UE: E00033820,L8  0UE,E00033820,114,94
L8  0UF: E00033810,L8  0UF,E00033810,4,3
L8  0UF: E00033820,L8  0UF,E00033820,129,97
L8  0UN: E00033842,L8  0UN,E00033842,40,43
L8  0UN: E00033844,L8  0UN,E00033844,54,57
L8  0UQ: E00033810,L8  0UQ,E00033810,116,96
L8  0UQ: E00033820,L8  0UQ,E00033820,5,4
L8  0YB: E00033843,L8  0YB,E00033843,52,91
L8  0YB: E00033844,L8  0YB,E00033844,5,9
L8  1ST: E00033812,L8  1ST,E00033812,2,4
L8  1ST: E00033846,L8  1ST,E00033846,49,96
L8  1TN: E00033845,L8  1TN,E00033845,5,18
L8  1TN: E00033846,L8  1TN,E00033846,23,82
L8  1UL: E00032993,L8  1UL,E00032993,36,42
L8  1UL: E00033847,L8  1UL,E00033847,49,58
L8  1UW: E00032993,L8  1UW,E00032993,25,45
L8  1UW: E00033847,L8  1UW,E00033847,31,55
L8  1YQ: E00033808,L8  1YQ,E00033808,3,5
L8  1YQ: E00033811,L8  1YQ,E00033811,59,95
L8  2TA: E00033819,L8  2TA,E00033819,4,4
L8  2TA: E00176717,L8  2TA,E00176717,94,96
L8  2TF: E00033811,L8  2TF,E00033811,77,65
L8  2TF: E00033819,L8  2TF,E00033819,17,14
L8  2TF: E00176718,L8  2TF,E00176718,25,21
L8  2TG: E00176708,L8  2TG,E00176708,18,19
L8  2TG: E00176717,L8  2TG,E00176717,31,32
L8  2TG: E00176718,L8  2TG,E00176718,48,49
L8  2TX: E00033811,L8  2TX,E00033811,40,87
L8  2TX: E00176708,L8  2TX,E00176708,6,13
L8  2XD: E00033811,L8  2XD,E00033811,1,3
L8  2XD: E00176708,L8  2XD,E00176708,37,97
L8  2XG: E00033818,L8  2XG,E00033818,33,67
L8  2XG: E00033843,L8  2XG,E00033843,16,33
L8  2XH: E00033811,L8  2XH,E00033811,11,48
L8  2XH: E00176708,L8  2XH,E00176708,12,52
L8  2YD: E00033811,L8  2YD,E00033811,9,69
L8  2YD: E00176708,L8  2YD,E00176708,4,31
L8  2YF: E00033821,L8  2YF,E00033821,5,8
L8  2YF: E00176708,L8  2YF,E00176708,57,92
L8  3SL: E00033196,L8  3SL,E00033196,153,97
L8  3SL: E00033826,L8  3SL,E00033826,4,3
L8  3UF: E00033815,L8  3UF,E00033815,1,2
L8  3UF: E00176609,L8  3UF,E00176609,44,98
L8  4AB: E00033839,L8  4AB,E00033839,34,69
L8  4AB: E00033841,L8  4AB,E00033841,15,31
L8  4PF: E00033839,L8  4PF,E00033839,29,55
L8  4PF: E00033841,L8  4PF,E00033841,24,45
L8  4PW: E00033839,L8  4PW,E00033839,60,59
L8  4PW: E00033841,L8  4PW,E00033841,42,41
L8  4PX: E00033839,L8  4PX,E00033839,8,13
L8  4PX: E00033840,L8  4PX,E00033840,4,6
L8  4PX: E00033841,L8  4PX,E00033841,50,81
L8  4RG: E00033581,L8  4RG,E00033581,56,81
L8  4RG: E00033595,L8  4RG,E00033595,13,19
L8  4TF: E00033581,L8  4TF,E00033581,154,91
L8  4TF: E00033594,L8  4TF,E00033594,16,9
L8  4TH: E00033581,L8  4TH,E00033581,4,4
L8  4TH: E00033591,L8  4TH,E00033591,108,96
L8  4UE: E00033589,L8  4UE,E00033589,6,38
L8  4UE: E00033593,L8  4UE,E00033593,10,63
L8  4UN: E00033582,L8  4UN,E00033582,50,49
L8  4UN: E00033595,L8  4UN,E00033595,52,51
L8  5RE: E00032994,L8  5RE,E00032994,19,95
L8  5RE: E00176621,L8  5RE,E00176621,1,5
L8  6RQ: E00033008,L8  6RQ,E00033008,15,21
L8  6RQ: E00033579,L8  6RQ,E00033579,58,79
L8  6SY: E00033007,L8  6SY,E00033007,64,94
L8  6SY: E00033008,L8  6SY,E00033008,4,6
L8  6TN: E00032998,L8  6TN,E00032998,43,75
L8  6TN: E00033579,L8  6TN,E00033579,14,25
L8  6XA: E00033007,L8  6XA,E00033007,8,22
L8  6XA: E00033008,L8  6XA,E00033008,28,78
L8  6XD: E00033621,L8  6XD,E00033621,5,7
L8  6XD: E00176665,L8  6XD,E00176665,64,93
L8  7LP: E00032999,L8  7LP,E00032999,23,68
L8  7LP: E00033023,L8  7LP,E00033023,11,32
L8  7LT: E00032988,L8  7LT,E00032988,33,33
L8  7LT: E00032991,L8  7LT,E00032991,12,12
L8  7LT: E00032999,L8  7LT,E00032999,55,55
L8  7NG: E00032988,L8  7NG,E00032988,31,94
L8  7NG: E00032991,L8  7NG,E00032991,2,6
L8  7NL: E00033020,L8  7NL,E00033020,25,86
L8  7NL: E00176695,L8  7NL,E00176695,4,14
L8  7PL: E00033020,L8  7PL,E00033020,105,98
L8  7PL: E00176637,L8  7PL,E00176637,2,2
L8  7PU: E00176694,L8  7PU,E00176694,3,12
L8  7PU: E00176709,L8  7PU,E00176709,22,88
L8  7QA: E00176634,L8  7QA,E00176634,50,43
L8  7QA: E00176637,L8  7QA,E00176637,23,20
L8  7QA: E00176641,L8  7QA,E00176641,42,37
L8  8AG: E00033815,L8  8AG,E00033815,72,96
L8  8AG: E00176609,L8  8AG,E00176609,3,4
L8  8AJ: E00033819,L8  8AJ,E00033819,8,53
L8  8AJ: E00033822,L8  8AJ,E00033822,7,47
L8  8EF: E00033824,L8  8EF,E00033824,21,57
L8  8EF: E00033825,L8  8EF,E00033825,11,30
L8  8EF: E00033828,L8  8EF,E00033828,5,14
L8  8HD: E00033812,L8  8HD,E00033812,13,19
L8  8HD: E00033824,L8  8HD,E00033824,57,81
L8  8JW: E00033819,L8  8JW,E00033819,1,4
L8  8JW: E00033822,L8  8JW,E00033822,25,96
L8  8NF: E00033812,L8  8NF,E00033812,20,20
L8  8NF: E00033824,L8  8NF,E00033824,79,80
L8  9SS: E00033597,L8  9SS,E00033597,4,8
L8  9SS: E00033598,L8  9SS,E00033598,44,92
L9  0EA: E00033699,L9  0EA,E00033699,3,8
L9  0EA: E00033741,L9  0EA,E00033741,9,24
L9  0EA: E00034376,L9  0EA,E00034376,26,68
L9  0EY: E00033731,L9  0EY,E00033731,47,80
L9  0EY: E00034392,L9  0EY,E00034392,12,20
L9  0HY: E00033726,L9  0HY,E00033726,10,43
L9  0HY: E00033733,L9  0HY,E00033733,13,57
L9  0LE: E00033720,L9  0LE,E00033720,31,50
L9  0LE: E00034431,L9  0LE,E00034431,31,50
L9  0LS: E00033720,L9  0LS,E00033720,11,23
L9  0LS: E00034431,L9  0LS,E00034431,37,77
L9  1AF: E00034386,L9  1AF,E00034386,14,27
L9  1AF: E00034415,L9  1AF,E00034415,37,73
L9  1AW: E00176697,L9  1AW,E00176697,84,99
L9  1AW: E00176770,L9  1AW,E00176770,1,1
L9  1BS: E00034428,L9  1BS,E00034428,3,8
L9  1BS: E00034429,L9  1BS,E00034429,35,92
L9  1BY: E00034387,L9  1BY,E00034387,50,77
L9  1BY: E00034415,L9  1BY,E00034415,15,23
L9  1DD: E00034425,L9  1DD,E00034425,7,12
L9  1DD: E00034428,L9  1DD,E00034428,51,88
L9  1DL: E00034384,L9  1DL,E00034384,23,34
L9  1DL: E00034415,L9  1DL,E00034415,45,66
L9  1DY: E00033987,L9  1DY,E00033987,42,91
L9  1DY: E00034388,L9  1DY,E00034388,2,4
L9  1DY: E00034430,L9  1DY,E00034430,2,4
L9  1FB: E00034418,L9  1FB,E00034418,75,63
L9  1FB: E00034422,L9  1FB,E00034422,45,38
L9  1HF: E00034422,L9  1HF,E00034422,132,90
L9  1HF: E00176649,L9  1HF,E00176649,15,10
L9  1NB: E00034418,L9  1NB,E00034418,16,64
L9  1NB: E00034422,L9  1NB,E00034422,9,36
L9  2AW: E00034383,L9  2AW,E00034383,16,18
L9  2AW: E00034416,L9  2AW,E00034416,72,82
L9  2BU: E00034397,L9  2BU,E00034397,2,40
L9  2BU: E00176729,L9  2BU,E00176729,3,60
L9  2DB: E00034397,L9  2DB,E00034397,44,96
L9  2DB: E00176729,L9  2DB,E00176729,2,4
L9  2DP: E00034382,L9  2DP,E00034382,40,33
L9  2DP: E00176730,L9  2DP,E00176730,80,67
L9  2DT: E00034382,L9  2DT,E00034382,17,20
L9  2DT: E00034383,L9  2DT,E00034383,56,67
L9  2DT: E00165671,L9  2DT,E00165671,10,12
L9  3AN: E00034380,L9  3AN,E00034380,48,25
L9  3AN: E00034381,L9  3AN,E00034381,144,75
L9  3AW: E00034380,L9  3AW,E00034380,92,52
L9  3AW: E00034381,L9  3AW,E00034381,85,48
L9  3DG: E00034412,L9  3DG,E00034412,4,7
L9  3DG: E00176770,L9  3DG,E00176770,56,93
L9  4RR: E00034390,L9  4RR,E00034390,54,98
L9  4RR: E00034432,L9  4RR,E00034432,1,2
L9  6AX: E00034111,L9  6AX,E00034111,46,98
L9  6AX: E00034132,L9  6AX,E00034132,1,2
L9  6BA: E00034125,L9  6BA,E00034125,62,85
L9  6BA: E00176760,L9  6BA,E00176760,11,15
L9  6BP: E00033716,L9  6BP,E00033716,36,82
L9  6BP: E00034132,L9  6BP,E00034132,8,18
L9  6BQ: E00034125,L9  6BQ,E00034125,58,87
L9  6BQ: E00176760,L9  6BQ,E00176760,9,13
L9  6BR: E00033702,L9  6BR,E00033702,38,97
L9  6BR: E00034132,L9  6BR,E00034132,1,3
L9  6BU: E00033702,L9  6BU,E00033702,2,3
L9  6BU: E00033717,L9  6BU,E00033717,68,97
L9  6DH: E00033703,L9  6DH,E00033703,74,87
L9  6DH: E00033717,L9  6DH,E00033717,11,13
L9  6EE: E00033702,L9  6EE,E00033702,12,41
L9  6EE: E00033715,L9  6EE,E00033715,17,59
L9  6EP: E00034126,L9  6EP,E00034126,33,40
L9  6EP: E00176773,L9  6EP,E00176773,50,60
L9  7LF: E00033728,L9  7LF,E00033728,199,96
L9  7LF: E00033736,L9  7LF,E00033736,8,4
L9  8AP: E00034409,L9  8AP,E00034409,2,11
L9  8AP: E00176664,L9  8AP,E00176664,17,89
L9  8AS: E00034409,L9  8AS,E00034409,52,91
L9  8AS: E00176664,L9  8AS,E00176664,5,9
L9  8BG: E00034398,L9  8BG,E00034398,39,85
L9  8BG: E00035719,L9  8BG,E00035719,7,15
L9  8BN: E00034391,L9  8BN,E00034391,5,12
L9  8BN: E00034399,L9  8BN,E00034399,37,88
L9  8BQ: E00034398,L9  8BQ,E00034398,61,92
L9  8BQ: E00035719,L9  8BQ,E00035719,5,8
L9  8BU: E00034401,L9  8BU,E00034401,1,8
L9  8BU: E00034406,L9  8BU,E00034406,11,92
L9  8BX: E00034399,L9  8BX,E00034399,1,1
L9  8BX: E00034401,L9  8BX,E00034401,94,99
L9  8DA: E00034375,L9  8DA,E00034375,127,99
L9  8DA: E00035684,L9  8DA,E00035684,1,1
L9  8DB: E00034375,L9  8DB,E00034375,87,95
L9  8DB: E00034377,L9  8DB,E00034377,5,5
L9  8DE: E00034379,L9  8DE,E00034379,4,7
L9  8DE: E00034401,L9  8DE,E00034401,53,93
L9  8DJ: E00034378,L9  8DJ,E00034378,2,3
L9  8DJ: E00034389,L9  8DJ,E00034389,65,94
L9  8DJ: E00034393,L9  8DJ,E00034393,2,3
L9  8EA: E00034377,L9  8EA,E00034377,39,98
L9  8EA: E00034394,L9  8EA,E00034394,1,3
L9  8EX: E00034391,L9  8EX,E00034391,2,2
L9  8EX: E00034399,L9  8EX,E00034399,81,98
L9  8HF: E00034391,L9  8HF,E00034391,3,3
L9  8HF: E00035715,L9  8HF,E00035715,99,97
L9  8HG: E00034391,L9  8HG,E00034391,18,27
L9  8HG: E00035715,L9  8HG,E00035715,48,73
L9  8HJ: E00034375,L9  8HJ,E00034375,4,7
L9  8HJ: E00035715,L9  8HJ,E00035715,53,93
L9  8HS: E00034391,L9  8HS,E00034391,46,94
L9  8HS: E00035715,L9  8HS,E00035715,3,6
L9  8HW: E00034391,L9  8HW,E00034391,14,29
L9  8HW: E00035715,L9  8HW,E00035715,34,71
L9  9BD: E00033710,L9  9BD,E00033710,1,7
L9  9BD: E00033713,L9  9BD,E00033713,13,93
L9  9BN: E00033699,L9  9BN,E00033699,2,3
L9  9BN: E00033740,L9  9BN,E00033740,77,97
L9  9BY: E00033736,L9  9BY,E00033736,26,81
L9  9BY: E00033737,L9  9BY,E00033737,6,19
L9  9BZ: E00033699,L9  9BZ,E00033699,29,94
L9  9BZ: E00033740,L9  9BZ,E00033740,2,6
L9  9DA: E00033699,L9  9DA,E00033699,28,80
L9  9DA: E00033737,L9  9DA,E00033737,7,20
L9  9HL: E00033704,L9  9HL,E00033704,61,34
L9  9HL: E00033719,L9  9HL,E00033719,83,46
L9  9HL: E00033723,L9  9HL,E00033723,38,21
L9  9HN: E00033719,L9  9HN,E00033719,9,9
L9  9HN: E00033723,L9  9HN,E00033723,92,91
L9  9HY: E00033719,L9  9HY,E00033719,139,93
L9  9HY: E00033723,L9  9HY,E00033723,11,7
L9  9JA: E00033704,L9  9JA,E00033704,112,99
L9  9JA: E00033719,L9  9JA,E00033719,1,1
